candidate_id,structured_record_id,source_family,source_url,component_support_type,deterministic_match_accepted,drought_hazard_support,wet_hazard_support,impact_support,explicit_linkage_support,administrative_only,reason
rawce_60e864d8d47a251a,usdm_06115_2022-10-25,usdm_drought_official_structured,https://usdmdataservices.unl.edu/api/CountyStatistics/GetDroughtSeverityStatisticsByAreaPercent?aoi=06115&startdate=2022-10-25&enddate=2022-10-25&statisticsType=1,drought_hazard,True,yes,no,no,no,no,Official county-level USDM structured row supports antecedent drought context.
rawce_60e864d8d47a251a,1078474,noaa_ncei_storm_events_structured,https://www.ncei.noaa.gov/pub/data/swdi/stormevents/csvfiles/StormEvents_details-ftp_v1.0_d2023_c20260323.csv.gz,wet_event_and_impact,True,no,yes,yes,no,no,"Structured NOAA Storm Events row matches candidate county and wet-event window/close storm sequence; impact channels were extracted from damage, casualty, and narrative fields."
rawce_60e864d8d47a251a,1078655,noaa_ncei_storm_events_structured,https://www.ncei.noaa.gov/pub/data/swdi/stormevents/csvfiles/StormEvents_details-ftp_v1.0_d2023_c20260323.csv.gz,wet_event_and_impact,True,no,yes,yes,no,no,"Structured NOAA Storm Events row matches candidate county and wet-event window/close storm sequence; impact channels were extracted from damage, casualty, and narrative fields."
rawce_60e864d8d47a251a,1078659,noaa_ncei_storm_events_structured,https://www.ncei.noaa.gov/pub/data/swdi/stormevents/csvfiles/StormEvents_details-ftp_v1.0_d2023_c20260323.csv.gz,wet_event_and_impact,True,no,yes,yes,no,no,"Structured NOAA Storm Events row matches candidate county and wet-event window/close storm sequence; impact channels were extracted from damage, casualty, and narrative fields."
rawce_b859bb1b2a5040d6,usdm_06073_2025-02-25,usdm_drought_official_structured,https://usdmdataservices.unl.edu/api/CountyStatistics/GetDroughtSeverityStatisticsByAreaPercent?aoi=06073&startdate=2025-02-25&enddate=2025-02-25&statisticsType=1,drought_hazard,True,yes,no,no,no,no,Official county-level USDM structured row supports antecedent drought context.
rawce_b859bb1b2a5040d6,1249750,noaa_ncei_storm_events_structured,https://www.ncei.noaa.gov/pub/data/swdi/stormevents/csvfiles/StormEvents_details-ftp_v1.0_d2025_c20260526.csv.gz,wet_event_and_impact,True,no,yes,yes,no,no,"Structured NOAA Storm Events row matches candidate county and wet-event window/close storm sequence; impact channels were extracted from damage, casualty, and narrative fields."
rawce_b859bb1b2a5040d6,1249749,noaa_ncei_storm_events_structured,https://www.ncei.noaa.gov/pub/data/swdi/stormevents/csvfiles/StormEvents_details-ftp_v1.0_d2025_c20260526.csv.gz,wet_event_and_impact,True,no,yes,yes,no,no,"Structured NOAA Storm Events row matches candidate county and wet-event window/close storm sequence; impact channels were extracted from damage, casualty, and narrative fields."
rawce_b859bb1b2a5040d6,1249745,noaa_ncei_storm_events_structured,https://www.ncei.noaa.gov/pub/data/swdi/stormevents/csvfiles/StormEvents_details-ftp_v1.0_d2025_c20260526.csv.gz,wet_event_hazard,True,no,yes,no,no,no,Structured NOAA Storm Events row matches county/window but contains no direct impact signal under the conservative structured extractor.
rawce_b859bb1b2a5040d6,1249755,noaa_ncei_storm_events_structured,https://www.ncei.noaa.gov/pub/data/swdi/stormevents/csvfiles/StormEvents_details-ftp_v1.0_d2025_c20260526.csv.gz,wet_event_and_impact,True,no,yes,yes,no,no,"Structured NOAA Storm Events row matches candidate county and wet-event window/close storm sequence; impact channels were extracted from damage, casualty, and narrative fields."
rawce_a062fb0f4ef308b4,usdm_06053_2021-09-28,usdm_drought_official_structured,https://usdmdataservices.unl.edu/api/CountyStatistics/GetDroughtSeverityStatisticsByAreaPercent?aoi=06053&startdate=2021-09-28&enddate=2021-09-28&statisticsType=1,drought_hazard,True,yes,no,no,no,no,Official county-level USDM structured row supports antecedent drought context.
rawce_a062fb0f4ef308b4,1000119,noaa_ncei_storm_events_structured,https://www.ncei.noaa.gov/pub/data/swdi/stormevents/csvfiles/StormEvents_details-ftp_v1.0_d2021_c20260323.csv.gz,wet_event_and_impact,True,no,yes,yes,no,no,"Structured NOAA Storm Events row matches candidate county and wet-event window/close storm sequence; impact channels were extracted from damage, casualty, and narrative fields."
rawce_cad3947a45ad7f7c,usdm_06109_2023-12-26,usdm_drought_official_structured,https://usdmdataservices.unl.edu/api/CountyStatistics/GetDroughtSeverityStatisticsByAreaPercent?aoi=06109&startdate=2023-12-26&enddate=2023-12-26&statisticsType=1,drought_hazard,True,yes,no,no,no,no,"Official USDM structured row was checked, but D1+ is not above the qualifying threshold."
rawce_cad3947a45ad7f7c,,noaa_ncei_storm_events_structured,,wet_event_hazard,False,no,no,no,no,no,structured_match_not_accepted
rawce_5070c3121ad54300,usdm_06027_2021-09-28,usdm_drought_official_structured,https://usdmdataservices.unl.edu/api/CountyStatistics/GetDroughtSeverityStatisticsByAreaPercent?aoi=06027&startdate=2021-09-28&enddate=2021-09-28&statisticsType=1,drought_hazard,True,yes,no,no,no,no,Official county-level USDM structured row supports antecedent drought context.
rawce_5070c3121ad54300,,noaa_ncei_storm_events_structured,,wet_event_hazard,False,no,no,no,no,no,structured_match_not_accepted
rawce_6ea445f33da9fa1e,usdm_06107_2022-11-29,usdm_drought_official_structured,structured-cache://usdm/06107/2022-11-29,drought_hazard,True,yes,no,no,no,no,Official county-level USDM structured row supports antecedent drought context.
rawce_6ea445f33da9fa1e,1065833,noaa_ncei_storm_events_structured,https://www.ncei.noaa.gov/pub/data/swdi/stormevents/csvfiles/StormEvents_details-ftp_v1.0_d2023_c20260323.csv.gz,wet_event_and_impact,True,no,yes,yes,no,no,"Structured NOAA Storm Events row matches candidate county and wet-event window/close storm sequence; impact channels were extracted from damage, casualty, and narrative fields."
rawce_6ea445f33da9fa1e,1065749,noaa_ncei_storm_events_structured,https://www.ncei.noaa.gov/pub/data/swdi/stormevents/csvfiles/StormEvents_details-ftp_v1.0_d2023_c20260323.csv.gz,wet_event_and_impact,True,no,yes,yes,no,no,"Structured NOAA Storm Events row matches candidate county and wet-event window/close storm sequence; impact channels were extracted from damage, casualty, and narrative fields."
rawce_6ea445f33da9fa1e,1065750,noaa_ncei_storm_events_structured,https://www.ncei.noaa.gov/pub/data/swdi/stormevents/csvfiles/StormEvents_details-ftp_v1.0_d2023_c20260323.csv.gz,wet_event_and_impact,True,no,yes,yes,no,no,"Structured NOAA Storm Events row matches candidate county and wet-event window/close storm sequence; impact channels were extracted from damage, casualty, and narrative fields."
rawce_6ea445f33da9fa1e,1065751,noaa_ncei_storm_events_structured,https://www.ncei.noaa.gov/pub/data/swdi/stormevents/csvfiles/StormEvents_details-ftp_v1.0_d2023_c20260323.csv.gz,wet_event_and_impact,True,no,yes,yes,no,no,"Structured NOAA Storm Events row matches candidate county and wet-event window/close storm sequence; impact channels were extracted from damage, casualty, and narrative fields."
rawce_4474aacc457cfc3b,usdm_06029_2022-11-29,usdm_drought_official_structured,https://usdmdataservices.unl.edu/api/CountyStatistics/GetDroughtSeverityStatisticsByAreaPercent?aoi=06029&startdate=2022-11-29&enddate=2022-11-29&statisticsType=1,drought_hazard,True,yes,no,no,no,no,Official county-level USDM structured row supports antecedent drought context.
rawce_4474aacc457cfc3b,1062433,noaa_ncei_storm_events_structured,https://www.ncei.noaa.gov/pub/data/swdi/stormevents/csvfiles/StormEvents_details-ftp_v1.0_d2023_c20260323.csv.gz,wet_event_and_impact,True,no,yes,yes,no,no,"Structured NOAA Storm Events row matches candidate county and wet-event window/close storm sequence; impact channels were extracted from damage, casualty, and narrative fields."
rawce_4474aacc457cfc3b,1063304,noaa_ncei_storm_events_structured,https://www.ncei.noaa.gov/pub/data/swdi/stormevents/csvfiles/StormEvents_details-ftp_v1.0_d2023_c20260323.csv.gz,wet_event_and_impact,True,no,yes,yes,no,no,"Structured NOAA Storm Events row matches candidate county and wet-event window/close storm sequence; impact channels were extracted from damage, casualty, and narrative fields."
rawce_4474aacc457cfc3b,1063314,noaa_ncei_storm_events_structured,https://www.ncei.noaa.gov/pub/data/swdi/stormevents/csvfiles/StormEvents_details-ftp_v1.0_d2023_c20260323.csv.gz,wet_event_and_impact,True,no,yes,yes,no,no,"Structured NOAA Storm Events row matches candidate county and wet-event window/close storm sequence; impact channels were extracted from damage, casualty, and narrative fields."
rawce_4474aacc457cfc3b,1063220,noaa_ncei_storm_events_structured,https://www.ncei.noaa.gov/pub/data/swdi/stormevents/csvfiles/StormEvents_details-ftp_v1.0_d2023_c20260323.csv.gz,wet_event_and_impact,True,no,yes,yes,no,no,"Structured NOAA Storm Events row matches candidate county and wet-event window/close storm sequence; impact channels were extracted from damage, casualty, and narrative fields."
rawce_4747396341aee37e,usdm_06107_2022-11-29,usdm_drought_official_structured,structured-cache://usdm/06107/2022-11-29,drought_hazard,True,yes,no,no,no,no,Official county-level USDM structured row supports antecedent drought context.
rawce_4747396341aee37e,,noaa_ncei_storm_events_structured,,wet_event_hazard,False,no,no,no,no,no,structured_match_not_accepted
